Dataset,#TrainingRelease,%Training (data on training / total data),%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
openjpaProportion_without_duplicated_lines,2,0.079,0.682,0.787,NaiveBayes,OVERSAMPLING,NONE,NONE,295.0,10.0,140.0,259.0,0.967,0.532,0.793,0.29
openjpaProportion_without_duplicated_lines,2,0.079,0.682,0.787,Ibk,OVERSAMPLING,NONE,NONE,263.0,20.0,130.0,291.0,0.929,0.475,0.662,0.206
openjpaProportion_without_duplicated_lines,3,0.111,0.713,0.783,RandomForest,OVERSAMPLING,NONE,NONE,297.0,26.0,85.0,103.0,0.92,0.743,0.811,0.406
openjpaProportion_without_duplicated_lines,3,0.111,0.713,0.783,NaiveBayes,OVERSAMPLING,NONE,NONE,121.0,4.0,107.0,279.0,0.968,0.302,0.778,0.141
openjpaProportion_without_duplicated_lines,3,0.111,0.713,0.783,Ibk,OVERSAMPLING,NONE,NONE,302.0,34.0,77.0,98.0,0.899,0.755,0.791,0.371
openjpaProportion_without_duplicated_lines,4,0.135,0.725,0.788,RandomForest,OVERSAMPLING,NONE,NONE,349.0,25.0,91.0,83.0,0.933,0.808,0.868,0.501
openjpaProportion_without_duplicated_lines,4,0.135,0.725,0.788,NaiveBayes,OVERSAMPLING,NONE,NONE,133.0,6.0,110.0,299.0,0.957,0.308,0.782,0.133
openjpaProportion_without_duplicated_lines,4,0.135,0.725,0.788,Ibk,OVERSAMPLING,NONE,NONE,349.0,28.0,88.0,83.0,0.926,0.808,0.827,0.483
openjpaProportion_without_duplicated_lines,5,0.16,0.735,0.908,RandomForest,OVERSAMPLING,NONE,NONE,718.0,33.0,76.0,352.0,0.956,0.671,0.761,0.159
openjpaProportion_without_duplicated_lines,5,0.16,0.735,0.908,NaiveBayes,OVERSAMPLING,NONE,NONE,356.0,4.0,105.0,714.0,0.989,0.333,0.835,0.075
openjpaProportion_without_duplicated_lines,5,0.16,0.735,0.908,Ibk,OVERSAMPLING,NONE,NONE,889.0,35.0,74.0,181.0,0.962,0.831,0.801,0.318
openjpaProportion_without_duplicated_lines,6,0.215,0.779,0.778,RandomForest,OVERSAMPLING,NONE,NONE,383.0,47.0,86.0,83.0,0.891,0.822,0.846,0.427
openjpaProportion_without_duplicated_lines,6,0.215,0.779,0.778,NaiveBayes,OVERSAMPLING,NONE,NONE,171.0,20.0,113.0,295.0,0.895,0.367,0.697,0.125
openjpaProportion_without_duplicated_lines,6,0.215,0.779,0.778,Ibk,OVERSAMPLING,NONE,NONE,380.0,51.0,82.0,86.0,0.882,0.815,0.747,0.395
openjpaProportion_without_duplicated_lines,7,0.243,0.779,0.889,RandomForest,OVERSAMPLING,NONE,NONE,916.0,56.0,104.0,365.0,0.942,0.715,0.735,0.198
openjpaProportion_without_duplicated_lines,7,0.243,0.779,0.889,NaiveBayes,OVERSAMPLING,NONE,NONE,373.0,13.0,147.0,908.0,0.966,0.291,0.706,0.061
