Version,File Name,LOC,NR,NFix,NAuth,LOC_added,MAX_LOC_added,Churn,MAX_Churn,Age,Buggy
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java,92,8,3,8,297,132,271,132,25,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java,215,3,3,3,348,343,345,343,2,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java,17,1,1,1,47,47,47,47,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java,17,1,1,1,47,47,47,47,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java,17,1,1,1,47,47,47,47,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java,16,1,1,1,46,46,46,46,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java,17,1,1,1,47,47,47,47,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java,93,1,1,1,136,136,136,136,0,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java,188,1,1,1,261,261,261,261,0,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java,75,2,1,2,114,113,113,113,5,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java,173,5,1,5,534,256,514,256,35,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java,180,13,6,13,498,176,433,176,35,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java,201,7,2,7,507,232,474,232,35,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,203,7,2,7,644,305,610,305,35,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java,136,3,2,3,247,222,219,222,3,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,752,11,5,11,1917,720,1760,720,35,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java,60,3,2,3,99,90,92,90,14,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java,32,4,0,4,157,74,149,74,35,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java,151,7,2,7,381,178,366,178,35,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java,62,3,2,3,122,116,118,116,6,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java,23,1,1,1,55,55,55,55,2,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java,72,5,1,5,340,163,317,163,35,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java,59,5,1,5,221,88,202,88,35,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java,77,6,2,6,248,117,237,117,35,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java,35,4,1,4,128,60,123,60,35,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,28,4,0,4,442,359,432,359,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,6,1,0,1,42,42,42,42,2,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,7,3,0,3,56,48,48,48,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,10,2,0,2,67,63,63,63,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,33,2,0,2,257,237,237,237,35,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,92,3,0,3,139,133,133,133,35,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,92,4,0,4,150,136,137,136,35,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,125,3,0,3,181,176,177,176,35,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,24,2,0,2,47,46,46,46,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,77,5,1,5,137,127,128,127,35,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,24,2,0,2,59,58,58,58,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,82,2,0,2,152,149,149,149,35,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,41,2,0,2,78,74,74,74,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,10,1,0,1,37,37,37,37,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,10,2,0,2,40,38,38,38,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,10,2,0,2,40,39,39,39,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,45,4,0,4,107,95,96,95,35,Yes
