@relation openjpaProportion-weka.filters.unsupervised.attribute.SwapValues-Clast-Ffirst-Slast-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute Version numeric
@attribute LOC numeric
@attribute NR numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute Churn numeric
@attribute MAX_Churn numeric
@attribute Age numeric
@attribute Buggy {Yes,No}

@data
1,349,6,0,6,580,527,518,527,43,Yes
1,184,7,0,7,286,257,256,257,43,Yes
1,101,6,0,6,202,161,162,161,43,No
1,39,7,0,7,105,62,69,62,43,No
1,21,4,0,4,71,48,48,48,43,Yes
1,16,4,0,4,66,43,43,43,43,Yes
1,78,5,0,5,145,119,119,119,43,Yes
1,85,6,0,6,157,129,130,129,43,No
1,102,4,0,4,174,151,151,151,43,Yes
1,455,6,0,6,738,707,706,707,43,Yes
1,148,6,0,6,334,287,302,287,43,Yes
1,87,4,0,4,208,185,185,185,43,Yes
1,184,8,0,8,318,281,269,281,43,Yes
1,23,6,0,6,133,64,108,64,43,Yes
1,86,6,0,6,179,143,143,143,43,Yes
1,55,4,0,4,123,100,100,100,43,Yes
1,16,13,0,9,853,683,770,683,43,Yes
1,15,9,0,5,172,82,125,82,43,Yes
1,121,5,0,5,222,190,190,190,43,Yes
1,94,4,0,4,207,184,184,184,43,Yes
1,29,7,0,7,104,73,75,73,43,Yes
1,36,4,0,4,105,82,82,82,43,Yes
1,13,5,0,5,67,39,39,39,43,No
1,150,6,0,6,288,259,259,259,43,Yes
1,5,4,0,4,62,39,39,39,43,No
1,622,7,1,7,984,943,934,943,43,Yes
1,237,5,0,5,424,401,400,401,43,Yes
1,10,4,0,4,85,62,62,62,43,No
1,13,4,0,4,101,78,78,78,43,No
1,914,9,0,9,1628,1523,1453,1523,43,Yes
1,186,4,0,4,255,232,232,232,43,Yes
1,107,5,0,5,232,209,206,209,43,Yes
1,125,7,0,7,277,180,176,180,43,Yes
1,450,6,0,6,719,692,689,692,43,Yes
1,332,4,0,4,516,493,493,493,43,Yes
1,14,9,0,5,141,53,94,53,43,Yes
1,415,6,0,6,629,601,602,601,43,Yes
1,308,6,0,6,470,444,443,444,43,Yes
1,63,7,0,7,126,95,97,95,43,Yes
1,638,7,0,7,882,847,850,847,43,Yes
1,115,5,0,5,175,151,151,151,43,Yes
1,59,4,0,4,116,93,93,93,43,Yes
1,16,4,0,4,65,42,42,42,43,No
1,10,4,0,4,58,35,35,35,43,No
1,101,29,9,29,1446,238,144,233,43,Yes
1,2568,34,3,34,3987,3721,3746,3721,43,Yes
1,510,6,1,6,623,592,593,592,43,Yes
1,52,4,0,4,116,93,93,93,43,Yes
1,99,4,0,4,194,171,171,171,43,Yes
1,31,4,0,4,81,58,58,58,43,Yes
1,102,4,0,4,182,159,159,159,43,Yes
1,248,12,0,12,364,309,313,309,43,Yes
1,165,4,0,4,276,253,253,253,43,Yes
1,73,4,0,4,138,115,115,115,43,Yes
1,76,4,0,4,135,112,112,112,43,Yes
1,119,5,0,5,214,151,190,151,43,Yes
1,292,4,0,4,426,403,403,403,43,Yes
1,6,4,0,4,62,39,39,39,43,No
1,17,6,0,6,104,71,77,71,43,Yes
1,671,13,2,13,1062,900,921,900,43,Yes
1,401,6,0,6,562,534,533,534,43,Yes
1,110,7,1,7,219,166,167,166,43,Yes
1,804,14,1,14,1067,1019,1023,1019,43,Yes
1,88,4,0,4,147,124,124,124,43,Yes
1,255,5,0,5,400,376,377,376,43,Yes
1,299,6,0,6,465,432,430,432,43,Yes
1,174,5,0,5,598,572,572,572,43,Yes
1,365,4,0,4,511,488,488,488,43,Yes
1,163,4,0,4,543,520,520,520,43,Yes
1,672,6,0,6,1025,941,942,941,43,Yes
1,14,4,0,4,94,71,71,71,43,No
1,154,5,0,5,281,258,254,258,43,Yes
1,386,6,0,6,658,609,616,609,43,Yes
1,52,7,0,7,136,103,112,103,43,Yes
1,6,4,0,4,66,43,43,43,43,No
1,27,4,0,4,83,60,60,60,43,No
1,81,4,0,4,147,124,124,124,43,Yes
1,127,5,0,5,217,184,184,184,43,No
1,133,8,0,8,730,668,686,668,43,Yes
1,27,7,2,7,179,122,122,122,43,Yes
1,2041,24,6,24,3145,2795,2842,2795,43,Yes
1,9,4,0,4,56,33,33,33,43,No
1,181,5,0,5,323,298,299,298,43,Yes
1,14,5,1,5,113,76,76,76,43,Yes
1,133,17,1,17,562,237,205,219,45,Yes
1,32,9,0,9,173,70,68,65,45,Yes
1,72,8,0,8,305,139,138,127,45,Yes
1,188,11,0,11,1140,535,518,507,45,Yes
1,45,4,0,4,132,94,109,94,37,Yes
1,48,8,0,8,201,89,87,82,45,No
1,37,9,0,9,214,99,88,86,45,Yes
1,38,10,2,10,231,91,71,82,45,Yes
1,51,18,0,18,264,47,89,43,45,Yes
1,53,8,0,8,347,139,159,136,45,Yes
1,69,6,0,6,337,157,157,149,45,Yes
1,255,16,0,16,2890,1336,1386,1324,45,Yes
1,1123,31,3,31,3197,1427,1423,1352,45,Yes
1,10,7,0,7,71,32,40,32,35,Yes
1,96,17,0,17,273,97,136,58,45,Yes
1,32,5,0,5,109,60,61,60,28,Yes
1,73,8,0,8,304,139,137,132,45,Yes
1,18,6,0,6,113,46,46,41,45,Yes
1,282,8,0,8,872,430,439,403,45,Yes
1,200,10,0,10,667,322,319,307,45,Yes
1,29,8,0,8,134,57,55,50,45,Yes
1,70,8,0,8,322,140,150,136,45,Yes
1,58,8,0,8,298,137,137,133,45,Yes
1,12,15,0,8,670,258,296,242,45,Yes
1,14,7,0,7,183,74,74,71,45,Yes
1,52,6,0,6,193,87,87,81,45,Yes
1,6,6,0,6,84,32,32,28,45,Yes
1,175,8,0,8,507,232,252,216,45,No
1,93,7,0,7,310,145,145,137,45,Yes
1,172,10,0,10,514,248,243,226,45,Yes
1,475,18,1,18,1360,618,679,563,45,Yes
1,262,8,0,8,712,335,333,307,45,Yes
1,157,8,0,8,482,229,216,211,45,Yes
1,18,7,0,7,152,62,62,58,45,No
1,4,7,0,7,83,30,30,27,45,No
1,18,8,0,8,317,138,135,130,45,Yes
1,446,13,1,13,1410,682,647,644,45,Yes
1,287,7,0,7,924,465,465,432,45,Yes
1,24,6,0,6,148,64,64,58,45,Yes
1,14,6,0,6,122,49,49,45,45,No
1,136,10,1,10,601,193,193,160,45,Yes
1,38,7,1,7,196,81,79,74,45,Yes
1,23,10,3,10,173,57,56,52,45,Yes
1,6,7,1,7,115,36,36,32,45,Yes
1,20,7,1,7,123,46,46,41,45,Yes
1,201,9,3,9,2091,458,388,458,29,Yes
1,20,7,1,7,146,48,48,43,45,Yes
1,1027,11,0,11,2907,1465,1470,1336,45,Yes
1,315,10,0,10,1083,537,529,492,45,Yes
1,25,7,0,7,301,138,138,135,45,No
1,347,8,0,8,1061,530,529,498,45,Yes
1,13,6,0,6,167,72,72,69,45,No
1,4,6,0,6,69,24,24,20,45,No
1,781,14,0,14,2257,1081,1074,1024,45,Yes
1,2536,38,8,38,7902,3542,3759,3202,45,Yes
1,123,9,0,9,565,257,254,247,45,Yes
1,40,7,1,7,206,91,91,87,45,Yes
1,70,8,1,8,598,282,288,277,45,Yes
1,42,6,0,6,184,81,81,77,45,No
1,32,7,0,7,156,67,67,63,45,No
1,33,7,0,7,166,70,70,67,45,No
1,5,6,0,6,90,34,34,31,45,No
1,34,9,0,9,187,70,70,63,45,Yes
1,4,7,0,7,90,33,33,30,45,No
1,8,7,0,7,124,50,50,47,45,No
1,5,6,0,6,92,35,35,32,45,No
1,7,6,0,6,113,45,45,42,45,No
1,9,7,0,7,171,70,70,67,45,No
1,14,7,0,7,101,40,39,35,45,No
1,5,7,0,7,105,40,40,37,45,No
1,180,11,0,11,625,281,271,255,45,Yes
1,6,7,0,7,98,36,36,33,45,No
1,60,7,0,7,382,185,185,164,45,No
1,433,10,0,10,1205,588,590,553,45,Yes
1,5,6,0,6,78,28,28,25,45,No
1,58,8,0,8,242,108,104,103,45,Yes
1,76,13,1,13,340,112,141,103,45,Yes
1,10,7,0,7,90,34,34,30,45,No
1,6,7,0,7,106,40,40,37,45,No
1,5,6,0,6,89,34,34,31,45,No
